Rank,Release Group,Worldwide,Domestic,%,Foreign,%
106,30 Rojullo Preminchadam Ela?,"$2,088,571",-,-,"$2,088,571",100%
107,The Night Beyond the Tricornered Window,"$2,081,564",-,-,"$2,081,564",100%
108,One Second Champion,"$2,081,126",-,-,"$2,081,126",100%
109,June Again,"$1,927,042",-,-,"$1,927,042",100%
110,Alludu Adhurs,"$1,915,032",-,-,"$1,915,032",100%
111,Ensemble Stars!! Es Music Garden Delay Viewing,"$1,905,644",-,-,"$1,905,644",100%
112,Dream Horse,"$1,902,991","$1,902,991",100%,-,-
113,Radhe,"$1,758,386",-,-,"$1,758,386",100%
114,Profile,"$1,695,585","$1,695,585",100%,-,-
115,Son of Morning,"$1,649,063",-,-,"$1,649,063",100%
116,The Con-Heartist,"$1,629,745",-,-,"$1,629,745",100%
117,Juega Conmigo,"$1,548,495",-,-,"$1,548,495",100%
118,Josep,"$1,546,416",-,-,"$1,546,416",100%
119,French Exit,"$1,537,221","$717,420",46.7%,"$819,801",53.3%
120,Boss Level,"$1,481,124",-,-,"$1,481,124",100%
121,La La Land 2020 Re-release,"$1,456,649",-,-,"$1,456,649",100%
122,Together Together,"$1,416,861","$1,416,861",100%,-,-
123,Eeswaran,"$1,413,760",-,-,"$1,413,760",100%
124,El Exorcismo de Carmen Farías,"$1,358,103",-,-,"$1,358,103",100%
125,Long Story Short,"$1,353,374",-,-,"$1,353,374",100%
126,New Year Blues,"$1,344,633",-,-,"$1,344,633",100%
127,I Care a Lot,"$1,284,785",-,-,"$1,284,785",100%
128,Extinct,"$1,280,342",-,-,"$1,280,342",100%
129,Scott Pilgrim vs. the World 10th Anniversary (2021 Re-release),"$1,253,415","$1,253,415",100%,-,-
130,Zombie Reddy,"$1,242,321",-,-,"$1,242,321",100%
131,The Last Frontier,"$1,234,447",-,-,"$1,234,447",100%
132,Ainbo,"$1,217,567",-,-,"$1,217,567",100%
133,Supernova,"$1,140,516","$234,220",20.5%,"$906,296",79.5%
134,Harry Potter and the Prisoner of Azkaban 2021 Re-release,"$1,139,712",-,-,"$1,139,712",100%
135,Sailor Moon Eternal,"$1,130,225",-,-,"$1,130,225",100%
136,Cousins,"$1,129,317",-,-,"$1,129,317",100%
137,Crisis,"$1,122,696","$404,738",36.1%,"$717,958",63.9%
138,In the Earth,"$1,113,723","$1,113,723",100%,-,-
139,Super Me,"$1,100,000",-,-,"$1,100,000",100%
140,Aria the Crepuscolo,"$1,087,319",-,-,"$1,087,319",100%
141,The Way We Keep Dancing,"$1,074,644",-,-,"$1,074,644",100%
142,Shadow in the Cloud,"$1,024,767","$156,932",15.3%,"$867,835",84.7%
143,Crazy Wedding 3,"$1,023,947",-,-,"$1,023,947",100%
144,Long Weekend,"$1,018,532","$1,018,532",100%,-,-
145,The North Wind,"$1,003,414",-,-,"$1,003,414",100%
146,A Stand Worthy of Men,"$999,600",-,-,"$999,600",100%
147,The Lord of the Rings: The Fellowship of the Ring 2019 Re-release,"$987,411",-,-,"$987,411",100%
148,Gekijouban Bang Dream! Episode of Roselia: Promise,"$962,004",-,-,"$962,004",100%
149,The Box,"$956,926",-,-,"$956,926",100%
150,Zoya,"$944,885",-,-,"$944,885",100%
151,Maya the Bee 3: The Golden Orb,"$932,688",-,-,"$932,688",100%
152,The Vault,"$930,530",-,-,"$930,530",100%
153,Spirit Untamed,"$927,000",-,-,"$927,000",100%
154,In the Mood for Love 2020 Re-release,"$918,850",-,-,"$918,850",100%
155,Scoob! 2021 Re-release,"$850,000","$850,000",100%,-,-
156,Fly Me Away,"$841,407",-,-,"$841,407",100%
157,Four Good Days,"$837,849","$837,849",100%,-,-
158,Dynasty Warriors,"$829,947",-,-,"$829,947",100%
159,Mandibles,"$812,150",-,-,"$812,150",100%
160,The Truffle Hunters,"$795,190","$342,379",43.1%,"$452,811",56.9%
161,Lamb of God: The Concert Film,"$744,513","$744,513",100%,-,-
162,Jathi Ratnalu,"$731,273","$470,000",64.3%,"$261,273",35.7%
163,Trang Ti Phieu Luu Ky,"$665,224",-,-,"$665,224",100%
164,Our Friend,"$663,725","$663,725",100%,-,-
165,Ready o/r Knot,"$657,371",-,-,"$657,371",100%
166,Music,"$645,949",-,-,"$645,949",100%
167,Tazza: One-Eyed Jack 2021 Re-release,"$645,401",-,-,"$645,401",100%
168,The Seventh Day,"$618,634",-,-,"$618,634",100%
169,Three Sisters 2021 Re-release,"$594,075",-,-,"$594,075",100%
170,Chungking Express 2020 Re-release,"$591,356",-,-,"$591,356",100%
171,Kongsuni The Movie: Toy World Adventure,"$571,058",-,-,"$571,058",100%
172,Girls Can't Surf,"$520,780",-,-,"$520,780",100%
173,Dark Spell,"$515,596",-,-,"$515,596",100%
174,Twist,"$509,918",-,-,"$509,918",100%
175,Riders of Justice,"$498,172","$39,926",8%,"$458,246",92%
176,Top Gun 2021 Re-release,"$471,982","$457,577",96.9%,"$14,405",3.1%
177,Kalathil Sandhippom,"$453,001",-,-,"$453,001",100%
178,World War Z 2021 Re-release,"$448,000","$448,000",100%,-,-
179,2021 Oscar Nominated Short Films: Live Action,"$443,050","$443,050",100%,-,-
180,My Salinger Year,"$436,467","$54,730",12.5%,"$381,737",87.5%
181,Willy's Wonderland,"$431,020","$418,286",97%,"$12,734",3%
182,Minamata,"$421,521",-,-,"$421,521",100%
183,The Cinderella Addiction,"$421,202",-,-,"$421,202",100%
184,Bangaru Bullodu,"$418,267",-,-,"$418,267",100%
185,Earwig and the Witch,"$412,232","$173,704",42.1%,"$238,528",57.9%
186,The United States vs. Billie Holiday,"$397,237",-,-,"$397,237",100%
187,The Water Man,"$371,552","$371,552",100%,-,-
188,The Last Journey of Paul W. R.,"$352,260",-,-,"$352,260",100%
189,Russian Yug,"$348,435",-,-,"$348,435",100%
190,Locked Down,"$334,050",-,-,"$334,050",100%
191,The Emperor's New Groove 2021 Re-release,"$334,000","$334,000",100%,-,-
192,Occupation: Rainfall,"$331,091",-,-,"$331,091",100%
193,Sound of Metal,"$326,368",-,-,"$326,368",100%
194,Every Breath You Take,"$324,710",-,-,"$324,710",100%
195,Rising Wolf,"$323,756",-,-,"$323,756",100%
196,Dutch,"$323,167","$323,167",100%,-,-
197,Abominable 2021 Re-release,"$310,087","$110,000",35.5%,"$200,087",64.5%
198,Cosmic Sin,"$308,932",-,-,"$308,932",100%
199,Birth Time: The Documentary,"$306,281",-,-,"$306,281",100%
200,Under the Stars of Paris,"$305,795",-,-,"$305,795",100%
