Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,"Hi, Mom","$822,048,508",-,-,"$822,048,508",100%
2,Detective Chinatown 3,"$686,257,563",-,-,"$686,257,563",100%
3,Godzilla vs. Kong,"$435,954,000","$98,354,000",22.6%,"$337,600,000",77.4%
4,F9,"$229,025,000",-,-,"$229,025,000",100%
5,Impasse,"$172,919,448","$107,364",<0.1%,"$172,812,084",99.9%
6,A Writer's Odyssey,"$149,528,951","$133,527",<0.1%,"$149,395,424",99.9%
7,Raya and the Last Dragon,"$128,645,028","$51,620,365",40.1%,"$77,024,663",59.9%
8,Sister,"$128,292,175",-,-,"$128,292,175",100%
9,Tom and Jerry,"$116,238,157","$45,638,157",39.3%,"$70,600,000",60.7%
10,My Love,"$113,151,833",-,-,"$113,151,833",100%
11,Endgame,"$91,815,762","$23,149",<0.1%,"$91,792,613",100%
12,Detective Conan: The Scarlet Bullet,"$87,486,690",-,-,"$87,486,690",100%
13,Mortal Kombat,"$81,181,000","$41,881,000",51.6%,"$39,300,000",48.4%
14,Wrath of Man,"$80,465,737","$22,765,737",28.3%,"$57,700,000",71.7%
15,A Quiet Place Part II,"$79,000,000","$57,000,000",72.2%,"$22,000,000",27.8%
16,Evangelion: 3.0+1.0 Thrice Upon a Time,"$78,408,447",-,-,"$78,408,447",100%
17,Boonie Bears: The Wild Life,"$77,725,611",-,-,"$77,725,611",100%
18,Avatar 2021 Re-release,"$57,566,409",-,-,"$57,566,409",100%
19,Nezha Reborn,"$56,088,478",-,-,"$56,088,478",100%
20,Break Through the Darkness,"$52,700,000",-,-,"$52,700,000",100%
21,Nobody,"$46,099,130","$25,999,130",56.4%,"$20,100,000",43.6%
22,Cruella,"$42,600,000","$26,500,000",62.2%,"$16,100,000",37.8%
23,Love Will Tear Us Apart,"$42,400,000",-,-,"$42,400,000",100%
24,The Yinyang Master,"$37,690,000",-,-,"$37,690,000",100%
25,Peter Rabbit 2: The Runaway,"$36,800,000",-,-,"$36,800,000",100%
26,I Fell in Love Like A Flower Bouquet,"$34,422,973",-,-,"$34,422,973",100%
27,Big Red Envelope,"$32,800,000",-,-,"$32,800,000",100%
28,Once Upon a Time in Hong Kong,"$32,218,874",-,-,"$32,218,874",100%
29,Home Sweet Home,"$32,178,677",-,-,"$32,178,677",100%
30,The Unholy,"$30,626,750","$15,326,750",50%,"$15,300,000",50%
31,The Little Things,"$29,844,012","$15,244,012",51.1%,"$14,600,000",48.9%
32,Master,"$28,692,230",-,-,"$28,692,230",100%
33,The Last Warrior: Root of Evil,"$28,354,705",-,-,"$28,354,705",100%
34,Spiral,"$27,058,261","$20,277,163",74.9%,"$6,781,098",25.1%
35,Rurouni Kenshin: Final Chapter Part I - The Final,"$26,788,917",-,-,"$26,788,917",100%
36,The Marksman,"$22,502,999","$15,566,093",69.2%,"$6,936,906",30.8%
37,Chaos Walking,"$21,887,908","$13,287,908",60.7%,"$8,600,000",39.3%
38,Wish Dragon,"$21,120,000",-,-,"$21,120,000",100%
39,The Dry,"$17,343,568","$250,809",1.4%,"$17,092,759",98.6%
40,Bo Gia,"$17,130,489",-,-,"$17,130,489",100%
41,Gintama: The Final,"$16,971,401",-,-,"$16,971,401",100%
42,Those Who Wish Me Dead,"$16,000,000","$6,900,000",43.1%,"$9,100,000",56.9%
43,Konyok-gorbunok,"$15,990,882",-,-,"$15,990,882",100%
44,Nomadland,"$14,784,114","$2,143,000",14.5%,"$12,641,114",85.5%
45,Minari,"$14,489,174","$3,110,580",21.5%,"$11,378,594",78.5%
46,The Courier,"$14,477,314","$6,573,859",45.4%,"$7,903,455",54.6%
47,Man in Love,"$13,300,000",-,-,"$13,300,000",100%
48,Vakeel Saab,"$13,056,490",-,-,"$13,056,490",100%
49,Monkey King Reborn,"$13,000,000",-,-,"$13,000,000",100%
50,Krack,"$10,442,916",-,-,"$10,442,916",100%
51,"Caution, Hazardous Wife: The Movie","$10,356,359",-,-,"$10,356,359",100%
52,Meitantei Conan: Hiiro no fuzai shômei,"$10,308,627",-,-,"$10,308,627",100%
53,Ji hun,"$9,600,000",-,-,"$9,600,000",100%
54,The Eleventh Chapter,"$8,845,525",-,-,"$8,845,525",100%
55,The Lord of the Rings: The Fellowship of the Ring 2021 Re-release,"$8,377,569",-,-,"$8,377,569",100%
56,Love Letter 2021 Re-release,"$7,400,000",-,-,"$7,400,000",100%
57,Signal: The Movie,"$7,344,186",-,-,"$7,344,186",100%
58,Dad,"$7,189,680",-,-,"$7,189,680",100%
59,Couple from the Future,"$7,160,729",-,-,"$7,160,729",100%
60,Lat Mat 5: 48H,"$6,781,370",-,-,"$6,781,370",100%
61,Judas and the Black Messiah,"$6,450,691","$5,446,607",84.4%,"$1,004,084",15.6%
62,Penguin Bloom,"$6,209,290",-,-,"$6,209,290",100%
63,August Never Ends,"$6,200,000",-,-,"$6,200,000",100%
64,Brave: Gunjyo Senki,"$5,677,186",-,-,"$5,677,186",100%
65,Suicide Forest Village,"$5,649,354",-,-,"$5,649,354",100%
66,Octonauts: The Ring of Fire,"$5,512,875",-,-,"$5,512,875",100%
67,Chernobyl: Abyss,"$5,306,985",-,-,"$5,306,985",100%
68,Kiba: The Fangs of Fiction,"$5,283,305",-,-,"$5,283,305",100%
69,Poly,"$5,076,221",-,-,"$5,076,221",100%
70,Red,"$4,920,261",-,-,"$4,920,261",100%
71,Palma,"$4,710,142",-,-,"$4,710,142",100%
72,Under the Open Sky,"$4,702,781",-,-,"$4,702,781",100%
73,Separation,"$4,467,349","$4,467,349",100%,-,-
74,Major Grom: Plague Doctor,"$4,460,681",-,-,"$4,460,681",100%
75,The Relatives,"$4,300,000",-,-,"$4,300,000",100%
76,77 Heartwarmings,"$4,235,741",-,-,"$4,235,741",100%
77,V2. Escape from Hell,"$4,235,643",-,-,"$4,235,643",100%
78,Prababushka lyogkogo povedeniya,"$4,226,911",-,-,"$4,226,911",100%
79,Girls und Panzer das Finale: Part III,"$4,216,657",-,-,"$4,216,657",100%
80,Boogie,"$4,191,023","$4,178,620",99.7%,"$12,403",0.3%
81,Seobok,"$4,119,613",-,-,"$4,119,613",100%
82,Voyagers,"$4,104,373","$3,149,935",76.7%,"$954,438",23.3%
83,The Lord of the Rings: The Two Towers 2021 Re-release,"$4,084,695",-,-,"$4,084,695",100%
84,The Conjuring: The Devil Made Me Do It,"$3,979,000",-,-,"$3,979,000",100%
85,The Mauritanian,"$3,938,134","$836,536",21.2%,"$3,101,598",78.8%
86,Karnan,"$3,817,585",-,-,"$3,817,585",100%
87,Wrong Turn,"$3,777,969","$1,251,184",33.1%,"$2,526,785",66.9%
88,The Lord of the Rings: The Return of the King 2021 Re-release,"$3,573,925",-,-,"$3,573,925",100%
89,Mission Possible,"$3,563,279",-,-,"$3,563,279",100%
90,Tomorrow Will Be Fine,"$3,520,000",-,-,"$3,520,000",100%
91,The Sun Does Not Move,"$3,483,187",-,-,"$3,483,187",100%
92,Beautiful Lure: A Modern Tale of Painted Skin,"$3,307,104",-,-,"$3,307,104",100%
93,Hell's Garden,"$3,200,000",-,-,"$3,200,000",100%
94,Después de Ti,"$3,162,778",-,-,"$3,162,778",100%
95,The Girl Who Believes in Miracles,"$3,142,865","$3,142,865",100%,-,-
96,Endless Rain,"$3,029,528","$7,334",0.2%,"$3,022,194",99.8%
97,Land,"$2,893,531","$2,577,830",89.1%,"$315,701",10.9%
98,Finding You,"$2,820,793","$2,457,879",87.1%,"$362,914",12.9%
99,Recalled,"$2,696,945",-,-,"$2,696,945",100%
100,The Book of Fish,"$2,622,158",-,-,"$2,622,158",100%
101,Here Today,"$2,601,005","$2,601,005",100%,-,-
102,High Ground,"$2,410,647",-,-,"$2,410,647",100%
103,Roohi,"$2,306,525",-,-,"$2,306,525",100%
104,Mumbai Saga,"$2,243,073",-,-,"$2,243,073",100%
105,Yakuza and the Family,"$2,168,905",-,-,"$2,168,905",100%
