Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,The Eight Hundred,"$461,390,882","$372,755",<0.1%,"$461,018,127",99.9%
2,Demon Slayer: Mugen Train,"$444,157,494","$43,956,487",9.9%,"$400,201,007",90.1%
3,Bad Boys for Life,"$426,505,244","$206,305,244",48.4%,"$220,200,000",51.6%
4,"My People, My Homeland","$422,390,820",-,-,"$422,390,820",100%
5,Tenet,"$363,656,624","$58,456,624",16.1%,"$305,200,000",83.9%
6,Sonic the Hedgehog,"$319,715,683","$148,974,665",46.6%,"$170,741,018",53.4%
7,Dolittle,"$245,520,240","$77,047,065",31.4%,"$168,473,175",68.6%
8,Legend of Deification,"$240,663,149","$214,670",<0.1%,"$240,448,479",99.9%
9,A Little Red Flower,"$216,000,000",-,-,"$216,000,000",100%
10,Birds of Prey,"$201,858,461","$84,158,461",41.7%,"$117,700,000",58.3%
11,Shock Wave 2,"$198,914,468",-,-,"$198,914,468",100%
12,The Croods: A New Age,"$168,204,960","$58,235,960",34.6%,"$109,969,000",65.4%
13,Wonder Woman 1984,"$166,534,027","$46,534,027",27.9%,"$120,000,000",72.1%
14,The Sacrifice,"$161,047,608",-,-,"$161,047,608",100%
15,The Invisible Man,"$143,151,000","$70,410,000",49.2%,"$72,741,000",50.8%
16,Onward,"$141,950,121","$61,555,145",43.4%,"$80,394,976",56.6%
17,Soul,"$136,384,442",-,-,"$136,384,442",100%
18,Warm Hug,"$129,240,236",-,-,"$129,240,236",100%
19,The Call of the Wild,"$111,105,497","$62,342,368",56.1%,"$48,763,129",43.9%
20,Caught in Time,"$80,543,319",-,-,"$80,543,319",100%
21,The Yin-Yang Master: Dream of Eternity,"$68,000,000",-,-,"$68,000,000",100%
22,Mulan,"$66,800,000",-,-,"$66,800,000",100%
23,The Rescue,"$63,426,575","$18,797",<0.1%,"$63,407,778",100%
24,Love You Forever,"$60,670,799",-,-,"$60,670,799",100%
25,Greenland,"$52,300,000",-,-,"$52,300,000",100%
26,Tolo Tolo,"$52,186,426",-,-,"$52,186,426",100%
27,Vanguard,"$50,814,965","$793,525",1.6%,"$50,021,440",98.4%
28,Fantasy Island,"$48,811,343","$27,309,289",55.9%,"$21,502,054",44.1%
29,The New Mutants,"$48,175,117","$23,852,659",49.5%,"$24,322,458",50.5%
30,After We Collided,"$47,990,414","$2,386,483",5%,"$45,603,931",95%
31,"From Today, It's My Turn: The Movie","$47,866,854",-,-,"$47,866,854",100%
32,Trolls World Tour,"$46,599,658",-,-,"$46,599,658",100%
33,Tanhaji: The Unsung Warrior,"$45,221,814",-,-,"$45,221,814",100%
34,The End of Endless Love,"$43,950,000",-,-,"$43,950,000",100%
35,Unhinged,"$43,249,465","$20,831,465",48.2%,"$22,418,000",51.8%
36,Train to Busan Presents: Peninsula,"$42,698,327","$1,231,407",2.9%,"$41,466,920",97.1%
37,Monster Hunter,"$41,515,349","$15,162,470",36.5%,"$26,352,879",63.5%
38,Underwater,"$40,882,928","$17,291,078",42.3%,"$23,591,850",57.7%
39,The War with Grandpa,"$40,738,838","$21,265,860",52.2%,"$19,472,978",47.8%
40,Sarileru Neekevvaru,"$37,389,889","$821,000",2.2%,"$36,568,889",97.8%
41,New Interpretation Records of the Three Kingdoms,"$36,747,486",-,-,"$36,747,486",100%
42,The Confidence Man JP: Princess,"$36,109,913",-,-,"$36,109,913",100%
43,The Man Standing Next,"$34,664,900","$113,527",0.3%,"$34,551,373",99.7%
44,My Mom is a Character 3,"$34,360,029",-,-,"$34,360,029",100%
45,Deliver Us from Evil,"$33,718,703",-,-,"$33,718,703",100%
46,Bloodshot,"$33,542,457","$12,561,824",37.5%,"$20,980,633",62.5%
47,Doraemon the Movie: Nobita's New Dinosaur,"$33,479,893",-,-,"$33,479,893",100%
48,Harry Potter and the Sorcerer's Stone 2020 Re-release,"$31,501,815",-,-,"$31,501,815",100%
49,Honest Thief,"$31,135,149","$14,163,574",45.5%,"$16,971,575",54.5%
50,Like a Boss,"$30,399,490","$22,169,514",72.9%,"$8,229,976",27.1%
51,Bath Buddy,"$28,700,000",-,-,"$28,700,000",100%
52,Stand by Me Doraemon 2,"$28,488,283",-,-,"$28,488,283",100%
53,The Witches,"$26,930,318",-,-,"$26,930,318",100%
54,Emma.,"$26,399,320","$10,055,355",38.1%,"$16,343,965",61.9%
55,Leap,"$25,818,882","$83,074",0.3%,"$25,735,808",99.7%
56,Scoob!,"$24,900,000",-,-,"$24,900,000",100%
57,Interstellar 2020 Re-release,"$23,771,122",-,-,"$23,771,122",100%
58,Gretel & Hansel,"$22,051,055","$15,347,654",69.6%,"$6,703,401",30.4%
59,Poupelle of Chimney Town,"$21,661,344",-,-,"$21,661,344",100%
60,Stigmatized Properties,"$21,276,720",-,-,"$21,276,720",100%
61,The Photograph,"$20,690,779","$20,578,185",99.5%,"$112,594",0.5%
62,Yarn,"$20,444,185",-,-,"$20,444,185",100%
63,Brahms: The Boy II,"$20,311,536","$12,611,536",62.1%,"$7,700,000",37.9%
64,Violet Evergarden: The Movie,"$20,185,830",-,-,"$20,185,830",100%
65,Ice 2,"$19,788,995",-,-,"$19,788,995",100%
66,Soul Snatcher,"$19,561,221",-,-,"$19,561,221",100%
67,The Turning,"$19,427,123","$15,472,775",79.6%,"$3,954,348",20.4%
68,Gekijouban Fate/Stay Night: Heaven's Feel - III. Spring Song,"$19,134,514","$200,000",1%,"$18,934,514",99%
69,How the Grinch Stole Christmas 2020 Re-release,"$18,455,781","$420,180",2.3%,"$18,035,601",97.7%
70,Takizawa Enbujo Zero,"$18,091,395",-,-,"$18,091,395",100%
71,30 jours max,"$17,805,666",-,-,"$17,805,666",100%
72,The Promised Neverland,"$17,698,106",-,-,"$17,698,106",100%
73,Kaiji: Final Game,"$17,645,779",-,-,"$17,645,779",100%
74,Hitman: Agent Jun,"$17,601,351",-,-,"$17,601,351",100%
75,Digimon Adventure: Last Evolution Kizuna,"$17,068,434",-,-,"$17,068,434",100%
76,Baaghi 3,"$16,726,510","$721,439",4.3%,"$16,005,071",95.7%
77,Malasaña 32,"$16,639,378",-,-,"$16,639,378",100%
78,Pokémon the Movie: Secrets of the Jungle,"$16,052,056",-,-,"$16,052,056",100%
79,I Still Believe,"$16,021,491","$9,868,521",61.6%,"$6,152,970",38.4%
80,Freaky,"$15,920,855","$9,030,855",56.7%,"$6,890,000",43.3%
81,Promising Young Woman,"$14,835,965","$6,460,965",43.5%,"$8,375,000",56.5%
82,The Way Back,"$14,690,514","$13,590,514",92.5%,"$1,100,000",7.5%
83,The Personal History of David Copperfield,"$14,309,315","$1,876,298",13.1%,"$12,433,017",86.9%
84,Nightlife,"$14,298,751",-,-,"$14,298,751",100%
85,Pawn,"$14,191,042",-,-,"$14,191,042",100%
86,#Alive,"$13,432,212",-,-,"$13,432,212",100%
87,Howling Village,"$13,394,556",-,-,"$13,394,556",100%
88,Come Play,"$13,175,457","$10,475,990",79.5%,"$2,699,467",20.5%
89,Samjin Company English Class,"$12,761,386",-,-,"$12,761,386",100%
90,News of the World,"$12,668,325","$12,668,325",100%,-,-
91,Collectors,"$12,640,113",-,-,"$12,640,113",100%
92,No Escapes,"$12,582,824",-,-,"$12,582,824",100%
93,Ducobu 3,"$12,157,793",-,-,"$12,157,793",100%
94,Legend No. 17,"$11,811,335",-,-,"$11,811,335",100%
95,Wotakoi: Love Is Hard for Otaku,"$11,702,371",-,-,"$11,702,371",100%
96,Padre no hay más que uno 2: La llegada de la suegra,"$11,700,000",-,-,"$11,700,000",100%
97,The Hunt,"$11,472,187","$5,812,500",50.7%,"$5,659,687",49.3%
98,The Voice of Sin,"$10,983,063",-,-,"$10,983,063",100%
99,Me contro Te - Il film: La vendetta del Signor S,"$10,779,891",-,-,"$10,779,891",100%
